location_broad,site_name,Sample Type,collection_date,host,lat,long,level3
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideRocks,Dictyoda_sp,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Geliadiella_sp,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Acanthophora_sp,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Laurencia_sp,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideOcean,Sand,20181025,Nonhost,21.63854,-158.07167,Sediment
Oahu,Beach,Water Sample,20180625,Nonhost,21.64051,-158.06264,Water
Oahu,SharksCove,Rock Swab,20190621,Nonhost,21.64884,-158.06567,Surface
Oahu,UppersBeach,Rock Swab,20190620,Nonhost,21.63892,-158.07127,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,TwinRocks,Rock Swab,20190620,Nonhost,21.63677,-158.07189,Surface
Oahu,ThreeTablesBeach,Rock Swab,20190621,Nonhost,21.64499,-158.06658,Surface
Oahu,ThreeTablesBeach,Rock Swab,20190621,Nonhost,21.64499,-158.06658,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,SharksCove,Rock Swab,20190621,Nonhost,21.64884,-158.06567,Surface
Oahu,UppersBeach,Rock Swab,20190620,Nonhost,21.63892,-158.07127,Surface
Oahu,SharksCove,Rock Swab,20190621,Nonhost,21.64884,-158.06567,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Sediment,20181025,Nonhost,21.63854,-158.07167,Sediment
Oahu,TwinRocks,Rock Swab,20190620,Nonhost,21.63677,-158.07189,Surface
Oahu,OutsideRocks,MarineInvert,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Sediment,20181025,Nonhost,21.63854,-158.07167,Sediment
Oahu,OutsideRocks,Water Sample,20181025,Nonhost,21.63852,-158.07061,Water
Oahu,ThreeTablesBeach,Rock Swab,20190621,Nonhost,21.64499,-158.06658,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Sediment,20181025,Nonhost,21.63854,-158.07167,Sediment
Oahu,TwinRocks,Rock Swab,20190620,Nonhost,21.63677,-158.07189,Surface
Oahu,ThreeTablesBeach,Rock Swab,20190621,Nonhost,21.64499,-158.06658,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideOcean,Sediment,20181025,Nonhost,21.63854,-158.07167,Sediment
Oahu,UppersBeach,Rock Swab,20190620,Nonhost,21.63892,-158.07127,Surface
Oahu,UppersBeach,Rock Swab,20190620,Nonhost,21.63892,-158.07127,Surface
Oahu,OutsideRocks,Rock Swab,20181025,Nonhost,21.63852,-158.07061,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Rock Swab,20181025,Nonhost,21.63854,-158.07167,Surface
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideOcean,Limu,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideRocks,Limu,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideOcean,Sediment,20181025,Nonhost,21.63854,-158.07167,Sediment
Oahu,Ridge,Water Sample,20190701,Nonhost,21.59049,-157.95499,Water
Oahu,TwinRocks,Rock Swab,20190620,Nonhost,21.63677,-158.07189,Surface
Oahu,DrumRoad,Water Sample,20180731,Nonhost,21.6203,-158.01466,Water
Oahu,OutsideRocks,Coral,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideOcean,Coral,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,MarineInvert,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,CCA,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,OutsideRocks,CCA,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,Beach,Water Sample,20190703,Nonhost,21.64051,-158.06264,Water
Oahu,SharksCove,Rock Swab,20190621,Nonhost,21.64884,-158.06567,Surface
Oahu,UppersBeach,Rock Swab,20190620,Nonhost,21.63892,-158.07127,Surface
Oahu,OutsideOcean,Water Sample,20181025,Nonhost,21.63854,-158.07167,Water
Oahu,OutsideRocks,Coral,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideOcean,Coral,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,Coral,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,MarineInvert,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideRocks,CCA,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,OutsideRocks,CCA,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,Beach,Water Sample,20190703,Nonhost,21.64051,-158.06264,Water
Oahu,UppersBeach,Rock Swab,20190620,Nonhost,21.63892,-158.07127,Surface
Oahu,OutsideOcean,Water Sample,20181025,Nonhost,21.63854,-158.07167,Water
Oahu,OutsideRocks,Coral,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideOcean,Coral,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,MarineInvert,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideRocks,MarineInvert,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideRocks,CCA,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,UppersBeach,Rock Swab,20190620,Nonhost,21.63892,-158.07127,Surface
Oahu,UppersBeach,Sand,20190620,Nonhost,21.63892,-158.07127,Sediment
Oahu,OutsideRocks,Water Sample,20181025,Nonhost,21.63852,-158.07061,Water
Oahu,OutsideRocks,Ground_yellow,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideOcean,Cauliflower_red,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,Sponge,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,Eucidaris_metularia,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,Purple,20181025,Plant,21.63854,-158.07167,Plant_corpus
Oahu,Beach,Water Sample,20180625,Nonhost,21.64051,-158.06264,Water
Oahu,TwinRocks,Rock Swab,20190620,Nonhost,21.63677,-158.07189,Surface
Oahu,OutsideRocks,Water Sample,20181025,Nonhost,21.63852,-158.07061,Water
Oahu,OutsideRocks,Ground_yellow,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideOcean,Lobata_yellow,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,Sponge,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,Eucidaris_metularia,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideRocks,Hyrtios_sp,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideRocks,Purple,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,TwinRocks,Rock Swab,20190620,Nonhost,21.63677,-158.07189,Surface
Oahu,OutsideOcean,Water Sample,20181025,Nonhost,21.63854,-158.07167,Water
Oahu,OutsideRocks,Rice,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideOcean,Lobata_yellow,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideOcean,Sponge,20181025,Animal,21.63854,-158.07167,Animal_corpus
Oahu,OutsideRocks,Hyrtios_sp,20181025,Animal,21.63852,-158.07061,Animal_corpus
Oahu,OutsideRocks,Purple,20181025,Plant,21.63852,-158.07061,Plant_corpus
Oahu,Beach,Water Sample,20180625,Nonhost,21.64051,-158.06264,Water
Oahu,Beach,Water Sample,20180625,Nonhost,21.64051,-158.06264,Water
Oahu,WaimeaBay,Sediment,20190620,Nonhost,21.64272,-158.06626,Sediment
