Clade,Level3,Raw_Reads
A,Animal Corpus,26205
A,Plant Corpus,194247
A,Sediment,52
A,Rock Swab,0
A,Water,19087
D,Animal Corpus,15575
D,Plant Corpus,18735
D,Sediment,0
D,Rock Swab,0
D,Water,2
G,Animal Corpus,24567
G,Plant Corpus,1
G,Sediment,0
G,Rock Swab,0
G,Water,0
I,Animal Corpus,167
I,Plant Corpus,29
I,Sediment,94
I,Rock Swab,0
I,Water,48
J,Animal Corpus,154291
J,Plant Corpus,205662
J,Sediment,1206494
J,Rock Swab,449
J,Water,95743
K,Animal Corpus,0
K,Plant Corpus,22
K,Sediment,0
K,Rock Swab,0
K,Water,0
L,Animal Corpus,0
L,Plant Corpus,44
L,Sediment,0
L,Rock Swab,0
L,Water,0
