Level3,Clade,Relative Abundance
Animal_Corpus,A,0.118679378
Animal_Corpus,D,0.070537352
Animal_Corpus,G,0.111261067
Animal_Corpus,I,0.000756323
Animal_Corpus,J,0.698765879
Animal_Corpus,K,0
Animal_Corpus,L,0
Plant_Corpus,A,0.463884511
Plant_Corpus,D,0.044741367
Plant_Corpus,G,2.38812E-06
Plant_Corpus,I,6.92554E-05
Plant_Corpus,J,0.491144863
Plant_Corpus,K,5.25386E-05
Plant_Corpus,L,0.000105077
Sediment,A,0
Sediment,D,0
Sediment,G,0
Sediment,I,0
Sediment,J,1
Sediment,K,0
Sediment,L,0
Water,A,0.166147284
Water,D,1.74095E-05
Water,G,0
Water,I,0.000417827
Water,J,0.833417479
Water,K,0
Water,L,0
Surface,A,4.30949E-05
Surface,D,0
Surface,G,0
Surface,I,7.79023E-05
Surface,J,0.999879003
Surface,K,0
Surface,L,0
